Player,Tm,Tm_name,Opp,Opp_name,points_rolling_avg,assists_rolling_avg,rebounds_rolling_avg,points_last_game,assists_last_game,rebounds_last_game,Home,Tm,Opp,rest_days,opp_avg_PTS_allowed,opp_avg_TRB_allowed,opp_avg_AST_allowed,matchup_pts,matchup_reb,matchup_ast
Ausar Thompson,8,DET,22,PHI,9.8,2.2,5.2,12.0,3.0,8.0,1,8,22,2.0,12.2,4.2,1.6,9.0,2.0,1.0
Austin Reaves,13,LAL,9,GSW,18.8,6.8,5.6,20.0,9.0,6.0,1,13,9,2.0,10.4,3.8,4.2,16.0,5.0,7.0
Ayo Dosunmu,3,CHI,17,MIN,14.0,5.6,3.0,21.0,9.0,2.0,1,3,17,1.0,11.4,6.2,2.6,13.0,3.0,2.0
Bam Adebayo,15,MIA,2,BRK,23.6,5.8,10.4,18.0,4.0,13.0,1,15,2,2.0,20.8,7.0,4.6,17.0,16.0,4.0
Baylor Scheierman,1,BOS,13,LAL,1.0,0.6,1.8,0.0,0.0,0.0,1,1,13,1.0,6.8,4.0,2.4,1.0,1.4444444444444444,0.4444444444444444
Ben Sheppard,11,IND,12,LAC,6.4,3.0,3.2,9.0,2.0,4.0,1,11,12,2.0,7.2,2.2,2.6,5.777777777777778,2.5555555555555554,1.2777777777777777
Ben Simmons,2,BRK,29,WAS,7.4,7.4,5.4,2.0,4.0,5.0,1,2,29,4.0,16.2,5.2,3.6,6.181818181818182,5.212121212121212,6.9393939393939394
Bennedict Mathurin,11,IND,12,LAC,15.0,0.6,3.2,12.0,2.0,7.0,1,11,12,2.0,9.2,2.2,2.6,16.354166666666668,5.75,1.8541666666666667
Bilal Coulibaly,29,WAS,5,CLE,13.0,4.0,4.8,11.0,11.0,10.0,1,29,5,2.0,17.4,5.2,3.0,27.0,6.0,5.0
Blake Wesley,26,SAS,14,MEM,0.8,2.0,0.2,2.0,3.0,0.0,1,26,14,3.0,9.6,4.2,4.0,0.0,0.0,2.0
Bobby Portis,16,MIL,0,ATL,14.8,2.2,9.4,23.0,5.0,17.0,1,16,0,2.0,13.8,6.8,2.8,10.0,9.0,2.0
Bobi Klintman,8,DET,6,DAL,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,1,8,6,2.0,9.6,3.2,3.0,0.0,0.6666666666666666,0.3333333333333333
Bogdan Bogdanović,0,ATL,27,TOR,7.2,0.8,2.2,23.0,0.0,3.0,1,0,27,2.0,16.6,5.2,0.8,23.0,3.0,0.0
Bol Bol,23,PHO,28,UTA,2.6,0.6,1.6,3.0,1.0,1.0,1,23,28,2.0,9.4,2.4,1.8,3.7333333333333334,1.6,0.3333333333333333
Bones Hyland,12,LAC,13,LAL,5.0,2.0,1.8,8.0,2.0,2.0,1,12,13,13.0,5.0,1.8,1.2,7.2,1.2,1.4
Bradley Beal,23,PHO,20,OKC,17.0,3.6,2.4,25.0,3.0,5.0,1,23,20,2.0,3.6,2.6,1.4,17.35135135135135,3.3783783783783785,3.4324324324324325
Branden Carlson,20,OKC,27,TOR,6.2,0.6,2.6,3.0,0.0,0.0,1,20,27,15.0,12.4,4.8,1.4,0.0,2.0,2.0
Brandin Podziemski,9,GSW,13,LAL,16.4,3.6,5.0,29.0,4.0,6.0,1,9,13,1.0,12.2,2.2,2.4,17.0,3.0,5.0
Brandon Boston,18,NOP,14,MEM,11.8,1.2,2.8,17.0,1.0,6.0,1,18,14,1.0,8.6,3.0,3.2,8.0,2.0,3.0
Brandon Boston Jr.,18,NOP,1,BOS,7.8,0.2,1.4,12.0,0.0,1.0,1,18,1,2.0,5.2,5.0,1.4,0.0,1.0,0.0
Brandon Clarke,14,MEM,27,TOR,9.8,0.8,5.4,6.0,1.0,4.0,1,14,27,3.0,4.2,4.2,1.4,11.0,9.0,0.0
Brandon Ingram,18,NOP,20,OKC,25.0,5.8,5.6,29.0,3.0,7.0,1,18,20,2.0,12.0,6.0,3.8,18.0,6.0,6.0
Brandon Miller,4,CHO,28,UTA,17.2,4.6,3.2,19.0,6.0,4.0,1,4,28,3.0,14.4,5.2,2.8,21.037037037037038,4.851851851851852,3.6296296296296298
Brandon Williams,6,DAL,5,CLE,0.8,2.4,0.8,0.0,6.0,1.0,1,6,5,6.0,19.4,3.8,2.8,13.0,3.0,2.0
Brice Sensabaugh,28,UTA,23,PHO,4.4,0.8,2.0,0.0,0.0,0.0,1,28,23,2.0,14.0,3.4,2.2,9.0,1.0,0.0
Bronny James,13,LAL,12,LAC,1.4,0.6,1.2,2.0,0.0,0.0,1,13,12,3.0,3.8,2.0,2.4,0.0,0.0,0.0
Brook Lopez,16,MIL,0,ATL,11.2,1.8,3.8,14.0,0.0,3.0,1,16,0,2.0,17.0,4.8,2.0,16.0,3.0,1.0
Bruce Brown,27,TOR,14,MEM,7.4,1.6,3.8,9.0,1.0,3.0,1,27,14,1.0,7.0,1.6,0.6,8.38888888888889,3.7777777777777777,1.5555555555555556
Bruno Fernando,27,TOR,1,BOS,3.8,1.2,2.6,2.0,0.0,0.0,1,27,1,19.0,5.6,3.4,1.2,4.0,2.0,2.0
Bryce McGowens,24,POR,23,PHO,1.4,0.0,0.0,1.0,0.0,0.0,1,24,23,2.0,9.0,2.6,1.6,1.625,0.125,0.125
Buddy Hield,9,GSW,13,LAL,8.4,2.4,3.0,18.0,2.0,3.0,1,9,13,1.0,5.4,1.2,0.8,10.0,4.0,0.0
CJ McCollum,18,NOP,7,DEN,20.2,3.8,4.0,30.0,5.0,6.0,1,18,7,2.0,13.4,3.6,3.2,30.0,6.0,5.0
Cade Cunningham,8,DET,5,CLE,29.2,9.8,4.6,30.0,14.0,6.0,1,8,5,2.0,12.0,2.6,2.8,22.0,3.0,7.0
Caleb Houstan,21,ORL,7,DEN,2.8,0.6,2.2,3.0,0.0,1.0,1,21,7,1.0,19.2,3.0,5.2,6.0,0.0,1.0
Caleb Martin,22,PHI,18,NOP,9.4,2.6,4.6,8.0,2.0,5.0,1,22,18,2.0,13.0,2.2,0.8,9.064516129032258,4.387096774193548,2.225806451612903
Cam Christie,12,LAC,29,WAS,1.2,0.4,1.2,0.0,1.0,1.0,1,12,29,1.0,20.8,4.2,3.4,1.2,1.2,0.4
Cam Reddish,13,LAL,22,PHI,1.6,0.4,1.6,0.0,0.0,0.0,1,13,22,5.0,6.0,2.4,1.8,3.0,5.0,2.0
Cam Spencer,14,MEM,6,DAL,3.2,1.6,2.0,7.0,1.0,1.0,1,14,6,2.0,17.0,2.2,3.0,4.0,1.7,1.6
Cam Thomas,2,BRK,16,MIL,23.2,4.6,3.8,25.0,6.0,6.0,1,2,16,4.0,11.4,3.8,2.0,32.0,5.0,2.0
Cam Whitmore,10,HOU,17,MIN,8.2,1.0,3.6,12.0,1.0,3.0,1,10,17,2.0,6.0,2.2,0.8,4.0,3.0,1.0
Cameron Johnson,2,BRK,15,MIA,19.6,1.6,2.8,17.0,2.0,3.0,1,2,15,2.0,7.6,2.2,1.0,19.0,3.0,2.0
Cameron Payne,19,NYK,27,TOR,5.2,1.8,1.6,5.0,2.0,1.0,1,19,27,1.0,16.6,2.8,2.4,0.0,0.0,2.0
Caris LeVert,5,CLE,8,DET,5.6,4.2,3.0,0.0,3.0,3.0,1,5,8,1.0,11.8,2.4,2.4,9.0,3.0,2.0
Carlton Carrington,29,WAS,5,CLE,5.0,4.4,1.6,16.0,10.0,4.0,1,29,5,2.0,10.6,4.0,3.0,2.0,7.0,3.0
Cason Wallace,20,OKC,25,SAC,7.2,2.0,4.4,2.0,2.0,3.0,1,20,25,3.0,7.6,3.2,2.6,4.0,1.0,0.0
Charles Bassey,26,SAS,14,MEM,5.6,0.2,6.8,9.0,1.0,15.0,1,26,14,2.0,7.8,6.0,2.6,12.0,9.0,0.0
Chet Holmgren,20,OKC,27,TOR,13.6,1.2,8.4,0.0,0.0,4.0,1,20,27,89.0,11.2,1.4,3.6,15.272727272727273,8.363636363636363,1.9090909090909092
Chris Boucher,27,TOR,20,OKC,13.2,0.0,3.4,9.0,0.0,4.0,1,27,20,5.0,10.0,5.2,2.6,10.0,6.0,0.0
Chris Duarte,3,CHI,8,DET,1.4,0.8,1.2,0.0,0.0,1.0,1,3,8,18.0,7.4,4.4,1.0,2.1176470588235294,1.1764705882352942,0.5294117647058824
Chris Livingston,16,MIL,4,CHO,2.4,0.0,2.4,10.0,0.0,6.0,1,16,4,2.0,5.6,4.0,3.0,1.0769230769230769,1.5384615384615385,0.07692307692307693
Chris Paul,26,SAS,4,CHO,9.0,8.0,3.6,11.0,9.0,4.0,1,26,4,2.0,5.2,3.0,1.8,9.346938775510203,4.081632653061225,8.16326530612245
Christian Braun,7,DEN,21,ORL,17.2,2.4,7.2,23.0,3.0,9.0,1,7,21,1.0,8.2,5.4,0.8,20.0,11.0,2.0
Christian Koloko,13,LAL,9,GSW,2.0,1.0,0.8,0.0,0.0,0.0,1,13,9,5.0,8.0,4.4,2.2,0.0,0.0,0.0
Chuma Okeke,22,PHI,8,DET,2.4,1.0,1.2,0.0,0.0,0.0,1,22,8,3.0,6.8,2.8,1.2,0.0,1.0,0.0
Clint Capela,0,ATL,17,MIN,9.4,0.4,8.4,5.0,0.0,4.0,1,0,17,2.0,6.0,5.6,1.4,4.0,8.0,2.0
Coby White,3,CHI,17,MIN,18.8,3.8,3.0,22.0,7.0,3.0,1,3,17,1.0,8.0,6.2,2.6,24.0,0.0,8.0
Cody Martin,4,CHO,24,POR,7.2,2.0,3.4,5.0,1.0,4.0,1,4,24,2.0,8.0,5.8,1.8,7.846153846153846,4.512820512820513,2.282051282051282
Cody Williams,28,UTA,18,NOP,5.6,1.6,1.4,0.0,3.0,1.0,1,28,18,3.0,9.8,6.6,3.0,0.0,1.0,3.0
Colby Jones,25,SAC,21,ORL,1.2,0.2,0.4,2.0,0.0,0.0,1,25,21,22.0,8.8,2.8,1.6,1.0833333333333333,0.9583333333333334,0.2916666666666667
Cole Anthony,21,ORL,7,DEN,15.8,3.8,3.4,14.0,3.0,2.0,1,21,7,1.0,4.8,3.8,1.4,9.0,6.0,5.0
Cole Swider,8,DET,14,MEM,0.0,0.5,1.0,0.0,0.0,1.0,1,8,14,4.0,8.4,2.8,2.6,0.0,1.0,0.5
Colin Castleton,14,MEM,23,PHO,2.6,0.0,1.4,3.0,0.0,1.0,1,14,23,2.0,6.4,0.8,1.6,1.4,0.9,0.0
Collin Gillespie,23,PHO,20,OKC,1.4,0.2,0.8,0.0,1.0,2.0,1,23,20,4.0,3.0,2.0,1.2,2.1666666666666665,0.8333333333333334,0.5
Collin Sexton,28,UTA,11,IND,22.0,5.0,3.6,22.0,8.0,5.0,1,28,11,2.0,6.6,3.8,1.4,18.347826086956523,2.891304347826087,4.108695652173913
Corey Kispert,29,WAS,5,CLE,13.8,1.6,2.8,17.0,3.0,2.0,1,29,5,2.0,9.6,2.6,3.2,4.0,2.0,2.0
Cory Joseph,21,ORL,25,SAC,1.6,0.4,0.4,2.0,0.0,2.0,1,21,25,13.0,13.0,2.2,1.4,1.9333333333333333,0.7666666666666667,0.8
Craig Porter,5,CLE,22,PHI,0.8,0.6,0.2,0.0,1.0,1.0,1,5,22,1.0,9.8,2.6,3.4,3.0,1.0,2.0
