points_rolling_avg,assists_rolling_avg,rebounds_rolling_avg,points_last_game,assists_last_game,rebounds_last_game,Home,Tm,Opp,rest_days,opp_avg_PTS_allowed,opp_avg_TRB_allowed,opp_avg_AST_allowed,matchup_pts,matchup_reb,matchup_ast
0.4,0.0,0.4,0.0,0.0,0.0,1,11,22,4.0,9.8,4.0,1.2,3.0,1.0,1.0
11.4,2.6,3.0,24.0,4.0,4.0,1,29,9,2.0,17.2,3.6,4.4,20.0,6.0,4.0
8.8,2.4,6.0,8.0,3.0,7.0,1,8,23,2.0,23.0,8.6,4.0,4.0,2.0,1.0
19.0,1.6,3.8,24.0,2.0,5.0,1,9,29,3.0,5.6,4.6,2.0,5.0,4.0,2.0
2.2,0.4,2.8,2.0,0.0,6.0,1,22,11,3.0,10.58011049723757,4.121546961325967,2.410681399631676,3.0,2.8333333333333335,0.3055555555555556
9.0,2.6,1.0,3.0,1.0,0.0,1,0,1,3.0,10.6,8.6,2.4,10.0,2.75,2.0416666666666665
5.4,2.6,2.8,6.0,1.0,2.0,1,17,5,1.0,5.2,2.6,0.6,8.615384615384615,2.9038461538461537,2.4038461538461537
7.0,1.2,2.2,11.0,1.0,4.0,1,9,29,3.0,10.2,3.4,2.4,10.0,1.0,1.0
3.6,1.0,1.6,2.0,0.0,3.0,1,8,23,10.0,7.2,4.0,3.0,6.0,3.0,2.0
8.6,2.4,3.0,12.0,4.0,3.0,1,10,24,2.0,15.0,4.4,1.4,13.0,5.0,1.0
8.6,1.4,3.8,7.0,0.0,5.0,1,11,22,2.0,20.4,4.6,3.2,20.0,8.0,3.0
5.4,1.2,4.2,0.0,1.0,3.0,1,23,8,2.0,6.6,5.4,2.0,3.575,3.275,0.975
16.0,1.4,3.2,21.0,0.0,5.0,1,23,8,2.0,11.0,4.2,1.4,2.0,3.0,2.0
5.0,1.0,5.0,6.0,1.0,5.0,1,5,17,2.0,23.4,5.0,2.4,6.0285714285714285,5.085714285714285,1.5714285714285714
19.6,1.0,2.6,25.0,0.0,4.0,1,8,23,2.0,5.0,3.0,1.2,12.157894736842104,2.6842105263157894,1.631578947368421
3.8,2.8,7.8,6.0,4.0,9.0,1,23,8,2.0,13.4,5.0,2.0,5.0,9.0,4.0
6.0,0.8,1.4,5.0,1.0,2.0,1,5,17,2.0,5.8,4.6,1.8,8.72549019607843,3.7058823529411766,1.3137254901960784
6.5,1.4166666666666667,3.4166666666666665,7.0,1.0,6.0,1,9,29,3.0,8.8,1.0,1.8,6.5,3.4166666666666665,1.4166666666666667
5.2,1.0,2.8,2.0,0.0,0.0,1,11,22,2.0,9.4,6.6,3.2,6.0,2.0,2.0
11.8,1.0,2.4,14.0,2.0,1.0,1,22,11,3.0,11.4,2.4,5.2,15.0,1.0,1.0
9.6,2.8,3.2,3.0,1.0,3.0,1,5,17,2.0,8.0,3.0,0.8,8.5,4.333333333333333,2.9583333333333335
31.2,6.8,4.2,37.0,5.0,3.0,1,23,8,2.0,13.8,3.8,6.2,26.41304347826087,4.021739130434782,6.695652173913044
9.2,0.8,5.2,0.0,0.0,6.0,1,11,22,2.0,13.4,3.0,1.8,6.294117647058823,3.764705882352941,0.8823529411764706
10.0,2.6,3.0,13.0,2.0,3.0,1,29,9,2.0,9.4,5.0,1.2,9.0,4.0,2.0
24.4,7.8,1.4,20.0,9.0,2.0,1,5,17,2.0,6.2,5.2,1.0,21.86,2.56,6.72
8.4,1.6,1.4,23.0,1.0,3.0,1,24,10,2.0,8.0,2.8,3.0,7.0,6.0,5.0
13.4,3.4,5.0,18.0,3.0,8.0,1,0,1,3.0,11.6,3.6,3.8,28.0,3.0,7.0
10.4,1.6,3.6,3.0,2.0,1.0,1,0,1,3.0,7.8,1.6,4.2,2.0,1.0,5.0
4.0,0.4,1.0,7.0,1.0,3.0,1,1,0,1.0,14.0,4.8,1.2,0.0,5.0,0.0
3.6,0.2,1.2,4.0,0.0,0.0,1,24,10,2.0,3.0,1.6,1.0,0.0,1.0,0.0
18.4,2.8,4.6,8.0,2.0,2.0,1,5,17,2.0,8.2,6.8,1.0,24.020408163265305,4.346938775510204,4.73469387755102
11.8,5.8,4.0,12.0,6.0,4.0,1,11,22,2.0,6.2,2.4,3.8,5.0,4.0,7.0
11.8,0.6,6.0,16.0,0.0,4.0,1,10,24,2.0,9.2,4.4,1.8,4.0,5.0,0.0
7.6,2.4,2.4,12.0,2.0,3.0,1,1,0,1.0,15.8,4.4,4.0,31.0,6.0,5.0
16.2,7.0,1.4,16.0,8.0,1.0,1,10,24,3.0,10.8,3.0,3.4,8.0,5.0,5.0
10.4,1.8,7.6,16.0,2.0,9.0,1,29,9,2.0,3.0,3.4,1.6,10.0,11.0,2.0
17.0,1.4,5.6,23.0,1.0,8.0,1,17,5,1.0,10.8,5.4,0.8,14.0,5.235294117647059,1.9019607843137254
23.6,3.2,7.6,26.0,7.0,7.0,1,11,22,2.0,14.4,6.0,3.8,23.0,8.0,3.0
7.2,2.6,1.2,6.0,4.0,2.0,1,8,23,2.0,10.6,3.0,1.4,5.853658536585366,1.2439024390243902,2.317073170731707
16.2,1.0,6.2,28.0,1.0,3.0,1,11,22,2.0,6.4,4.2,0.8,7.0,6.0,2.0
3.0,2.0,2.0,4.0,7.0,2.0,1,23,8,2.0,9.0,3.0,2.8,4.0,0.0,3.0
10.0,3.8,11.2,14.0,7.0,13.0,1,0,1,3.0,7.6,4.4,1.0,15.0,6.0,2.0
9.4,3.4,2.0,4.0,3.0,2.0,1,1,0,1.0,8.8,1.4,1.8,6.0,1.0,2.0
17.4,2.0,2.6,3.0,0.0,2.0,1,8,23,2.0,13.6,3.4,2.2,18.0,2.0,0.0
10.8,4.8,1.8,12.0,3.0,1.0,1,9,29,3.0,6.2,4.8,5.0,14.425531914893616,2.6382978723404253,5.468085106382978
14.0,2.2,3.4,12.0,4.0,3.0,1,0,1,9.0,8.4,3.0,3.2,18.972972972972972,3.918918918918919,1.5405405405405406
12.0,3.4,5.2,10.0,2.0,4.0,1,8,23,2.0,8.4,2.0,0.8,10.0,3.0,2.0
12.0,4.0,3.4,11.0,6.0,3.0,1,0,1,3.0,21.2,2.6,5.0,6.702702702702703,2.6486486486486487,2.5405405405405403
6.6,2.6,1.8,13.0,2.0,0.0,1,17,5,1.0,14.8,5.6,2.2,8.23404255319149,2.6808510638297873,4.595744680851064
6.2,1.4,5.4,4.0,2.0,5.0,1,23,8,6.0,9.0,3.2,3.0,10.0,4.0,5.0
16.0,2.6,4.6,19.0,2.0,4.0,1,11,22,4.0,7.6,3.6,2.8,13.0,7.0,4.0
4.0,1.0,4.6,2.0,0.0,4.0,1,1,0,1.0,6.4,3.2,1.2,0.0,2.0,2.0
9.6,5.6,5.4,7.0,4.0,5.0,1,9,29,9.0,16.0,2.8,2.0,18.0,8.0,5.0
23.2,5.4,10.2,21.0,3.0,10.0,1,10,24,2.0,11.2,3.8,3.2,20.23076923076923,10.923076923076923,5.153846153846154
2.142857142857143,0.42857142857142855,1.4285714285714286,0.0,1.0,1.0,1,22,11,4.0,11.4,4.0,3.4,2.142857142857143,1.4285714285714286,0.42857142857142855
11.2,1.6,3.8,16.0,3.0,6.0,1,7,21,2.0,9.648275862068965,3.7982758620689654,2.0913793103448275,12.333333333333334,4.733333333333333,3.066666666666667
2.8,2.6,1.4,5.0,3.0,4.0,1,2,20,4.0,9.0,3.4,1.2,2.25,0.75,1.55
8.8,1.8,1.8,5.0,1.0,1.0,1,21,7,2.0,14.0,5.8,2.0,8.98,2.04,1.84
11.6,3.2,2.8,13.0,3.0,6.0,1,21,7,2.0,12.6,2.2,3.6,8.918367346938776,2.5714285714285716,3.4081632653061225
9.8,1.0,2.8,10.0,1.0,3.0,1,16,22,2.0,5.2,1.2,1.0,10.705882352941176,2.4705882352941178,1.3529411764705883
11.0,1.2,3.6,6.0,0.0,1.0,1,25,29,3.0,9.6,5.4,2.4,7.714285714285714,2.4285714285714284,1.2653061224489797
5.8,1.6,3.0,9.0,1.0,4.0,1,21,7,2.0,12.6,3.8,5.8,4.739130434782608,1.7391304347826086,1.391304347826087
11.8,0.2,4.2,12.0,0.0,2.0,1,7,21,2.0,5.2,3.4,0.4,14.607843137254902,4.96078431372549,2.0588235294117645
12.6,3.0,3.2,6.0,2.0,2.0,1,29,25,3.0,9.2,2.6,3.4,6.875,1.28125,2.5625
9.4,5.4,4.8,9.0,4.0,5.0,1,3,24,2.0,5.2,1.8,2.2,12.414634146341463,3.5609756097560976,4.658536585365853
2.2,0.6,3.2,0.0,2.0,3.0,1,16,22,4.0,11.8,6.4,2.2,4.368421052631579,3.4210526315789473,1.4210526315789473
11.8,1.8,2.8,7.0,3.0,3.0,1,13,12,2.0,5.6,4.4,0.6,8.75,2.875,1.5208333333333333
0.6,0.4,1.0,0.0,0.0,0.0,1,15,26,2.0,10.6,2.8,1.8,3.8484848484848486,1.4848484848484849,0.9393939393939394
12.2,1.6,3.8,10.0,4.0,6.0,1,13,12,2.0,11.2,9.6,2.6,12.785714285714286,5.095238095238095,1.5238095238095237
1.4,0.2,0.8,3.0,0.0,0.0,1,7,21,2.0,4.4,2.6,1.2,2.2222222222222223,1.5555555555555556,0.3611111111111111
8.2,1.8,6.8,15.0,3.0,9.0,1,21,7,2.0,12.6,9.4,3.4,10.578947368421053,7.315789473684211,2.473684210526316
15.0,1.6,6.6,18.0,3.0,8.0,1,22,16,1.0,17.4,4.4,1.6,16.842105263157894,7.842105263157895,2.4210526315789473
2.2,0.2,2.0,3.0,0.0,0.0,1,26,15,2.0,7.0,4.6,1.8,4.638888888888889,2.8055555555555554,1.4444444444444444
